Ticker,Name,Market Cap,Sector,Industry
BDT.AX,BIRDDOG FPO [BDT],9689160,Technology,Consumer Electronics
BDX.AX,BCAL FPO [BDX],34766960,Healthcare,Diagnostics & Research
BEL.AX,BENTLEY FPO [BEL],1294174,Financial Services,Asset Management
BEN.AX,BEN ADE BK FPO [BEN],7484770816,Financial Services,Banks - Regional
BEO.AX,BEONIC FPO [BEO],20269680,Technology,Software - Infrastructure
BET.AX,BETMAKTECH FPO [BET],106712536,Consumer Cyclical,Gambling
BEZ.AX,BESRAGOLD CDI 1:1 [BEZ],71913376,Basic Materials,Gold
BFC.AX,"BFC.AX,0P00016IS8,0",5991150,Consumer Defensive,Packaged Foods
BFG.AX,BELL FN GP FPO [BFG],429796960,Financial Services,Capital Markets
BFL.AX,BSP F GRP FPO [BFL],3270540032,Financial Services,Banks - Regional
BGA.AX,BEGA FPO [BGA],1741338752,Consumer Defensive,Packaged Foods
BGD.AX,BARTONGOLD FPO [BGD],52517996,Basic Materials,Gold
BGE.AX,BRIDGESAAS FPO [BGE],5995770,Technology,Software - Application
BGL.AX,BELLEVUE FPO [BGL],1369600128,Basic Materials,Gold
BGP.AX,BRISCOE FPO NZX [BGP],1004782976,Consumer Cyclical,Department Stores
BGT.AX,BIOGENETEC FPO [BGT],8255842,Healthcare,Biotechnology
BHD.AX,HORNIGOLD FPO [BHD],4831040,Financial Services,Asset Management
BHP.AX,BHP GROUP FPO [BHP],201188311040,Basic Materials,Other Industrial Metals & Mining
BIM.AX,BINDIMETAL FPO [BIM],5533750,Basic Materials,Other Precious Metals & Mining
BIO.AX,BIOME AUST FPO [BIO],111790464,Consumer Defensive,Packaged Foods
BIS.AX,BISALLOY FPO [BIS],181075600,Basic Materials,Steel
BIT.AX,BIOTRON FPO [BIT],15340511,Healthcare,Biotechnology
BKI.AX,BKI INVEST FPO [BKI],1396341888,Financial Services,Asset Management
BKT.AX,BLACKROCK FPO [BKT],43821752,Basic Materials,Other Industrial Metals & Mining
BKW.AX,BRICKWORKS FPO [BKW],3864920064,Basic Materials,Building Materials
BKY.AX,BERKELEY FPO [BKY],156028944,Energy,Uranium
BLG.AX,BLUGLASS FPO [BLG],46006748,Technology,Semiconductor Equipment & Materials
BLU.AX,BLUEENERGY FPO [BLU],14807761,Energy,Oil & Gas E&P
BLX.AX,BEACON LTG FPO [BLX],683208000,Consumer Cyclical,Specialty Retail
BLZ.AX,BLAZE MIN FPO [BLZ],7834750,Basic Materials,Other Industrial Metals & Mining
BM8.AX,BATTERYAGE FPO [BM8],10029703,Basic Materials,Other Industrial Metals & Mining
BMG.AX,BMG FPO [BMG],9222367,Basic Materials,Other Industrial Metals & Mining
BMH.AX,BAUMART FPO [BMH],10566384,Basic Materials,Building Materials
BML.AX,BOABMETALS FPO [BML],40844124,Basic Materials,Other Industrial Metals & Mining
BMM.AX,BAYAN FPO [BMM],4388065,Basic Materials,Other Industrial Metals & Mining
BMN.AX,BANNERMAN FPO [BMN],543205440,Energy,Uranium
BMO.AX,BASTIONMIN FPO [BMO],3378900,Basic Materials,Other Precious Metals & Mining
BMR.AX,BALLYMORE FPO [BMR],21561184,Basic Materials,Other Precious Metals & Mining
